0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
0,52.73,14.267,52.73,30.914,49.182,66.329,51.234,42.634,53.86,67.016,74.673,71.152,70.103,72.557,44.694,66.635,72.967,67.208,76.513,35.064,33.257,68.968,66.168,67.851,40.648,64.134,76.853,80.51,53.995,36.564,63.77,61.522,67.652,64.067,84.968,72.279,70.378,58.663,63.393,49.292,53.306,70.92,63.246,146.77,152.666,155.245,104.566,92.822,86.476,86.58,86.476,79.999,84.238,93.156,83.881,84.769,82.467,80.979,81.895,93.302,37.045,66.525,79.319,46.372,78.81,85.454,68.936,79.711,60.023,60.989,71.769,64.046,69.211,27.475,63.773,39.718,50.576,99.716,90.555,72.889,75.523,78.172,74.096,74.673,72.512,99.314,74.883,39.093,148.573,148.573,81.114,79.615,102.198,93.092,84.915,62.179,149.088,61.741,57.745,81.052,77.652,68.258,119.371,138.328,134.611,144.082,55.778,38.553,42.226,48.367,52.675,65.244,67.36,28.195,26.427,64.835,71.884,56.977,51.659,90.395,52.887,157.64,92.102,54.853,56.909,82.351,64.849,135.58,61.001,49.671,58.631,68.287,116.697,64.26,55.905,63.314,69.402,91.679,87.502,77.029,67.615,51.659,99.035
52.73,0,56.312,0,24.153,10.74,15.045,2.419,11.782,8.523,14.828,22.144,18.543,17.796,20.061,13.914,25.281,20.267,16.708,24.642,18.096,21.051,19.274,15.374,17.553,14.32,16.062,24.146,29.137,2.629,21.56,12.35,10.586,15.309,21.283,32.257,33.118,30.95,12.589,21.986,15.058,8.34,18.855,10.613,97.617,103.415,106.103,53.418,42.202,35.48,36.052,35.48,32.81,35.414,42.766,35.733,35.061,33.135,35.67,35.408,42.381,16.539,21.818,39.591,20.123,40.37,32.771,26.467,27.448,7.557,8.328,19.253,20.964,29.013,33.513,11.12,16.96,8.323,54.546,47.802,20.549,22.864,25.513,22.009,22.144,21.654,54.793,22.855,36.59,98.236,98.236,28.571,27.409,55.245,50.108,37.527,45.015,98.933,15.437,22.451,42.122,38.121,28.848,75.488,88.943,86.168,95.352,10.76,16.266,23.581,28.019,7.28,14.359,17.858,32.789,32.818,13.244,21.145,7.653,8.657,37.879,9.944,108.015,40.497,10.907,8.4,29.623,23.948,87.617,21.588,7.834,7.247,29.235,64.159,21.753,6.33,10.993,27.547,49.497,36.074,26.521,23.912,8.657,51.731
14.267,56.312,0,56.312,32.287,50.177,68.066,55.346,44.91,55.247,69.321,77.097,73.819,72.391,74.992,45.401,64.839,75.831,68.488,80.917,38.295,35.305,69.759,67.663,73.012,42.516,69.938,80.117,85.295,56.959,36.49,68.319,66.224,70.074,63.002,88.114,69.246,67.611,59.321,62.017,49.028,58.89,75.145,66.209,153.185,159.045,161.691,109.615,98.161,91.544,91.923,91.544,86.637,90.354,98.631,90.258,90.507,88.341,88.238,88.811,98.459,39.775,73.4,75.865,44.82,75.01,88.724,76.502,83.753,62.924,64.085,75.518,71.179,77.326,24.67,67.36,40.652,56.222,97.037,87.387,75.114,78.194,80.783,76.018,77.097,77.51,96.399,76.721,50.984,154.29,154.29,84.763,83.719,100.173,89.881,83.766,54.553,154.925,67.903,55.599,77.233,74.264,76.498,115.594,144.589,141.335,150.706,56.656,40.401,40.001,44.35,58.041,66.849,72.82,38.919,36.909,66.841,76.932,58.852,53.038,94.041,53.891,163.82,96.767,55.64,58.552,85.361,72.547,142.529,59.413,55.162,63.04,76.607,120.181,71.545,60.709,65.912,67.452,88.261,92.287,82.273,66.414,53.038,97.27
52.73,0,56.312,0,24.153,10.74,15.045,2.419,11.782,8.523,14.828,22.144,18.543,17.796,20.061,13.914,25.281,20.267,16.708,24.642,18.096,21.051,19.274,15.374,17.553,14.32,16.062,24.146,29.137,2.629,21.56,12.35,10.586,15.309,21.283,32.257,33.118,30.95,12.589,21.986,15.058,8.34,18.855,10.613,97.617,103.415,106.103,53.418,42.202,35.48,36.052,35.48,32.81,35.414,42.766,35.733,35.061,33.135,35.67,35.408,42.381,16.539,21.818,39.591,20.123,40.37,32.771,26.467,27.448,7.557,8.328,19.253,20.964,29.013,33.513,11.12,16.96,8.323,54.546,47.802,20.549,22.864,25.513,22.009,22.144,21.654,54.793,22.855,36.59,98.236,98.236,28.571,27.409,55.245,50.108,37.527,45.015,98.933,15.437,22.451,42.122,38.121,28.848,75.488,88.943,86.168,95.352,10.76,16.266,23.581,28.019,7.28,14.359,17.858,32.789,32.818,13.244,21.145,7.653,8.657,37.879,9.944,108.015,40.497,10.907,8.4,29.623,23.948,87.617,21.588,7.834,7.247,29.235,64.159,21.753,6.33,10.993,27.547,49.497,36.074,26.521,23.912,8.657,51.731
30.914,24.153,32.287,24.153,0,18.408,36.047,23.427,12.623,23.297,37.128,44.902,41.57,40.213,42.789,13.806,36.012,43.562,36.684,48.794,6.863,3.16,38.256,35.747,41.308,10.256,38.758,47.83,53.274,24.679,6.107,36.366,34.38,37.857,33.239,55.836,42.219,40.189,27.857,32.656,18.418,27.938,43.005,33.923,121.615,127.437,130.113,77.569,66.288,59.594,60.096,59.594,55.779,59.013,66.818,59.116,58.912,56.858,57.96,58.17,66.505,7.717,43.145,49.406,16.234,49.164,56.439,46.96,51.531,30.638,31.8,43.272,41.321,48.508,10.167,35.116,8.83,25.492,69.162,60.305,42.963,45.955,48.56,43.967,44.902,45.654,68.863,44.704,35.028,122.371,122.371,52.487,51.509,71.423,62.839,54.026,38.832,123.055,37.112,27.491,51.372,47.724,47.908,89.231,112.962,110.009,119.273,25.018,8.126,13.299,20.885,26.929,34.879,41.31,23.944,22.436,34.719,45.107,26.727,21.073,61.758,22.149,132.091,64.647,24.059,26.512,53.091,43.365,111.36,30.374,24.34,31.104,48.136,87.9,41.86,29.053,33.653,38.806,61.56,60.225,50.488,36.795,21.073,68.21
49.182,10.74,50.177,10.74,18.408,0,17.909,11.995,7.316,5.126,19.389,27.099,24.036,22.39,25.031,4.781,19.671,26.154,18.344,32.944,14.816,15.929,19.848,17.487,27.382,8.663,26.597,30.681,37.683,9.371,13.717,21.989,20.685,20.204,16.151,38.399,27.061,24.854,9.481,16.076,4.39,18.619,27.3,17.101,106.196,111.915,114.631,61.449,50.824,44.062,44.904,44.062,42.935,45.025,51.504,45.542,44.348,42.636,46.055,45.608,50.811,12.614,32.523,34.158,9.447,34.45,39.093,37.201,35.088,14.036,15.39,26.877,31.702,39.745,25.921,19.147,9.619,17.679,52.165,44.044,25.048,28.322,30.836,25.861,27.099,30.939,52.074,26.551,41.956,106.264,106.264,35.582,35.14,53.9,46.522,36.203,34.661,107.051,26.159,13.651,36.482,32.529,39.561,72.77,97.493,95.098,104.108,6.611,10.674,13.395,17.28,17.457,16.677,27.968,35.005,34.39,16.787,30.528,8.951,3.029,44.629,3.746,116.327,48.448,5.671,8.484,35.594,34.658,96.692,14.517,16.753,17.494,39.94,70.368,32.486,17.067,16.363,22.398,45.519,44.313,35.751,19.595,3.029,50.563
66.329,15.045,68.066,15.045,36.047,17.909,0,17.309,23.718,12.819,2.887,9.395,7.029,4.883,7.471,22.69,16.529,9.185,2.269,18.102,31.277,33.298,5.043,1.18,17.326,25.854,19.852,13.817,22.737,12.945,31.626,13.511,14.372,3.7,13.357,20.874,23.354,21.587,9.542,14.869,19.889,20.45,13.798,6.258,89.809,95.412,98.146,44.869,35.251,28.729,29.977,28.729,31.409,31.719,36.085,32.751,30.313,29.225,35.425,34.163,34.961,29.288,26.083,28.32,25.245,29.628,21.649,30.79,19.043,7.835,7.826,12.006,26.87,34.088,43.804,8.908,27.426,21.951,40.173,34.449,7.257,10.813,13.143,7.953,9.395,18.456,40.589,8.662,51.038,89.324,89.324,18.809,19.207,40.457,36.553,22.99,43.039,90.187,21.453,19.859,30.902,27.17,34.45,61.074,81.121,79.239,87.95,11.663,27.99,30.101,30.84,19.967,1.314,18.742,47.833,47.831,1.862,18.381,9.363,15.031,27.313,14.246,99.61,32.078,12.705,9.538,18.057,30.191,81.039,16.408,21.959,13.83,34.94,52.587,27.748,16.469,4.789,17.569,36.261,28.463,22.373,13.822,15.031,36.917
51.234,2.419,55.346,2.419,23.427,11.995,17.309,0,11.538,10.573,16.904,24.008,20.374,19.797,21.957,14.494,27.606,21.983,19.039,25.604,17.052,20.28,21.639,17.691,17.892,14.052,15.764,25.649,29.949,5.022,21.43,12.98,10.953,17.322,23.613,33.76,35.443,33.267,14.92,24.271,16.383,6.627,19.869,12.509,98.188,104.009,106.685,54.27,42.886,36.222,36.679,36.222,32.752,35.677,43.402,35.876,35.496,33.474,35.372,35.277,43.138,15.719,21.103,41.964,21.133,42.719,34.227,25.591,28.598,9.647,10.235,20.544,19.972,27.946,33.086,12.565,16.893,6.102,56.946,50.221,22.514,24.623,27.262,24.046,24.008,22.236,57.201,24.903,34.174,99.002,99.002,29.892,28.531,57.604,52.527,39.908,46.586,99.668,14.718,24.403,44.489,40.485,27.693,77.889,89.534,86.612,95.856,12.941,15.832,24.204,29.171,5.472,16.678,17.979,30.578,30.676,15.484,21.683,10.05,10.351,39.189,11.811,108.673,41.435,12.988,10.769,31.19,22.794,87.997,23.766,5.495,7.701,28.055,65.495,20.715,5.802,13.078,29.908,51.915,36.941,27.062,26.296,10.351,54.084
42.634,11.782,44.91,11.782,12.623,7.316,23.718,11.538,0,11.322,24.603,32.361,28.982,27.696,30.242,5.078,26.937,30.954,24.582,36.321,7.704,9.673,26.444,23.535,29.274,2.541,27.295,35.207,40.877,12.07,9.892,24.128,22.293,25.306,23.465,43.218,34.197,32.005,16.427,23.349,9.914,17.251,30.531,21.3,109.396,115.19,117.881,65.112,53.969,47.236,47.831,47.236,44.289,47.122,54.542,47.374,46.829,44.874,46.877,46.813,54.127,5.6,32.422,41.345,12.135,41.553,43.818,36.714,38.966,18.015,19.182,30.691,31.025,38.784,21.733,22.549,5.386,15.357,59.465,51.351,30.465,33.373,35.99,31.558,32.361,33.435,59.386,32.323,35.495,109.958,109.958,39.875,38.954,61.128,53.833,43.378,38.704,110.669,26.099,20.203,43.624,39.701,38.387,80.086,100.72,97.944,107.133,13.492,4.537,13.654,20.079,16.102,22.614,29.466,27.82,27.132,22.283,32.922,14.355,9.188,49.138,10.647,119.776,52.151,12.694,14.277,40.48,33.567,99.38,21.652,14.215,18.958,38.698,75.279,31.695,17.339,21.061,29.682,52.815,47.779,38.301,26.909,9.188,57.766
53.86,8.523,55.247,8.523,23.297,5.126,12.819,10.573,11.322,0,14.267,21.974,18.924,17.264,19.905,9.893,17.477,21.052,13.393,28.12,19.024,20.649,15.131,12.457,23.222,13.218,23.08,25.603,32.885,6.226,18.825,17.857,16.89,15.088,13.573,33.281,25.253,23.046,5.334,13.989,8.099,16.859,22.577,12.211,101.279,106.978,109.698,56.468,45.988,39.241,40.154,39.241,38.806,40.567,46.697,41.188,39.751,38.139,42.148,41.524,45.929,16.909,29.299,32.046,13.691,32.622,33.981,34.106,30.118,9.342,10.72,21.972,28.84,36.888,31.045,14.514,14.613,16.674,48.737,41.152,19.928,23.199,25.71,20.772,21.974,26.45,48.779,21.477,43.535,101.247,101.247,30.528,30.185,50.104,43.567,32.287,36.825,102.048,23.098,13.936,34.504,30.494,36.836,69.543,92.575,90.277,99.233,2.595,15.331,18.128,20.841,15.802,11.611,23.988,37.867,37.484,11.662,26.087,3.904,2.225,39.532,1.868,111.352,43.478,2.419,3.36,30.474,31.978,91.912,13.237,16.003,13.977,37.251,65.242,29.674,14.351,11.339,19.983,42.737,39.411,31.189,16.664,2.225,46.692
67.016,14.828,69.321,14.828,37.128,19.389,2.887,16.904,24.603,14.267,0,7.777,4.702,3.095,5.672,24.132,19.401,6.874,4.929,15.338,31.975,34.266,7.437,4.065,14.556,26.874,17.343,11.514,20.024,13.099,33.038,11.083,12.23,0.903,16.241,19.017,26.118,24.395,11.808,17.746,21.817,19.139,10.912,4.659,87.522,93.16,95.89,42.594,32.703,26.11,27.301,26.11,28.523,28.891,33.511,29.899,27.536,26.396,32.539,31.277,32.469,30.083,23.463,30.867,27.297,32.242,19.728,28.112,16.509,7.276,6.762,9.175,24.39,31.437,45.289,6.673,28.693,20.919,41.688,36.463,5.876,8.934,11.474,7.188,7.777,15.569,42.203,8.029,49.959,87.211,87.211,16.51,16.646,41.634,38.482,24.519,45.866,88.048,19.133,22.577,33.439,29.774,31.84,62.498,78.825,76.82,85.604,13.547,29.01,32.057,33.251,18.803,3.945,16.011,47.456,47.579,2.739,15.496,10.494,16.403,25.318,15.878,97.424,29.707,14.573,10.906,16.208,27.691,78.58,19.23,21.075,12.243,32.334,50.991,25.261,15.119,3.835,20.369,38.303,25.945,19.517,16.657,16.403,38.081
74.673,22.144,77.097,22.144,44.902,27.099,9.395,24.008,32.361,21.974,7.777,0,3.647,4.713,2.121,31.862,23.255,2.79,9.942,11.407,39.672,42.03,10.621,10.157,15.548,34.648,19.769,5.321,15.284,20.68,40.783,14.698,16.66,7.055,21.051,11.484,28.499,27.224,18.921,22.661,29.276,24.951,10.078,11.533,80.613,86.176,88.913,35.707,26.719,20.559,22.049,20.559,25.891,24.883,27.63,26.221,23.027,22.483,30.216,28.486,26.267,37.814,24.796,31.682,34.639,33.381,12.274,28.824,10.889,14.673,13.82,7.46,26.466,32.216,53.018,11.919,36.462,27.134,38.271,34.794,2.17,1.664,3.753,2.81,0,14.128,39.066,3.148,55.637,79.984,79.984,9.938,11.154,37.3,36.453,21.777,50.93,80.863,22.256,28.542,34.109,30.941,32.874,58.55,71.941,70.243,78.829,21.028,36.783,39.495,40.039,24.883,10.705,17.171,54.244,54.516,10.312,14.394,18.255,24.138,17.956,23.518,90.315,23.128,22.068,18.621,8.67,29.507,72.118,24.699,27.505,17.989,33.38,43.274,27.259,21.071,11.362,23.331,36.685,19.93,16.398,20.206,24.138,33.785
71.152,18.543,73.819,18.543,41.57,24.036,7.029,20.374,28.982,18.924,4.702,3.647,0,2.302,1.768,28.757,22.645,2.183,8.308,11.37,36.2,38.654,9.903,8.046,13.155,31.316,16.97,6.836,15.859,17.166,37.636,11.443,13.265,3.843,19.927,14.37,28.662,27.16,16.436,21.502,26.518,21.381,8.207,7.932,82.863,88.489,91.22,37.927,28.225,21.734,23.028,21.734,25.353,25.102,29.066,26.259,23.535,22.626,29.553,28.053,27.932,34.381,22.456,32.592,31.993,34.157,15.057,26.768,12.021,11.129,10.215,5.808,23.874,30.16,49.9,8.313,33.244,23.521,40.943,36.782,2.762,4.393,7.028,4.676,3.647,12.767,41.639,5.484,52.14,82.513,82.513,11.839,12.194,40.286,38.593,24.086,49.82,83.352,19.277,26.844,35.101,31.687,30.722,61.451,74.169,72.228,80.97,18.248,33.444,36.759,37.836,21.28,8.306,14.762,50.602,50.869,7.427,12.875,15.102,21.033,20.624,20.564,92.737,25.079,19.274,15.566,11.576,27.035,74.017,23.261,23.874,14.396,31.226,46.404,24.702,17.47,7.921,23.158,38.662,21.434,15.997,19.699,21.033,36.747
