orderNumber,shiftTime,shiftDay,ID,name,x,y,matrixPosition,milkPlanned,Factory,factoryPosition,startTimeWindow,endTimeWindow,vehicleLimit
76166,Day,2,0,SUP_30,145.68155,-38.17779,5,6576,FAC_67,1,480,900,1
76167,Day,2,2,SUP_32,145.764323,-38.09192,7,3942,FAC_67,1,390,900,1
76168,Day,2,4,SUP_36,145.739267,-38.184967,9,4996,FAC_67,1,540,870,1
76169,Day,2,5,SUP_37,145.900921,-38.199139,10,3628,FAC_67,1,540,960,1
76170,Day,2,6,SUP_38,145.986239,-38.218241,11,4421,FAC_67,1,540,930,2
76171,Day,2,7,SUP_39,145.954463,-38.197071,12,5139,FAC_67,1,540,930,1
76172,Day,2,8,SUP_40,145.933607,-38.209642,13,7493,FAC_67,1,450,900,1
76173,Day,2,9,SUP_41,145.96377,-38.211185,14,1859,FAC_67,1,480,900,2
76174,Day,2,12,SUP_46,145.979005,-38.193793,17,3417,FAC_67,1,510,960,1
76175,Day,2,14,SUP_51,146.051958,-38.12968,19,2316,FAC_67,1,480,900,1
76176,Day,2,16,SUP_56,145.533465,-38.09496,21,5686,FAC_67,1,660,960,1
76177,Day,2,19,SUP_60,145.967363,-38.079142,24,2791,FAC_67,1,450,900,1
76178,Day,2,23,SUP_76,146.103897,-38.116834,28,7625,FAC_67,1,600,960,2
76179,Day,2,26,SUP_82,145.91177,-38.099785,31,536,FAC_67,1,480,960,1
76180,Day,2,27,SUP_83,145.888985,-38.089505,32,2099,FAC_67,1,540,960,1
76181,Day,2,28,SUP_85,145.910655,-38.196494,33,1397,FAC_67,1,510,930,1
76182,Day,2,29,SUP_86,145.77224,-38.30429,34,8823,FAC_67,1,480,930,2
76183,Day,2,30,SUP_89,146.117044,-38.213145,35,2782,FAC_67,1,660,960,2
76184,Day,2,31,SUP_91,145.771286,-38.410772,36,5761,FAC_67,1,570,960,1
76185,Day,2,32,SUP_92,145.766178,-38.391233,37,7137,FAC_67,1,540,960,1
76186,Day,2,33,SUP_93,145.770668,-38.226069,38,3572,FAC_67,1,600,960,2
76187,Day,2,36,SUP_101,145.808054,-38.043342,41,2064,FAC_67,1,510,960,1
76188,Day,2,37,SUP_102,145.986042,-38.127564,42,3188,FAC_67,1,510,930,1
76189,Day,2,39,SUP_301,146.880936,-38.054694,44,6627,FAC_67,1,510,930,2
76190,Day,2,40,SUP_304,146.947588,-38.060939,45,4185,FAC_67,1,510,930,2
76191,Day,2,41,SUP_320,146.977729,-38.054622,46,8565,FAC_67,1,510,930,2
76192,Day,2,47,SUP_507,146.122991,-38.011852,52,7218,FAC_67,1,510,930,2
76193,Day,2,48,SUP_508,146.166045,-38.045164,53,4458,FAC_67,1,510,930,2
76194,Day,2,50,SUP_510,146.164803,-38.029123,55,5630,FAC_67,1,480,900,2
76195,Day,2,51,SUP_511,146.16728,-38.068286,56,3263,FAC_67,1,480,900,2
76196,Day,2,52,SUP_512,146.142945,-38.058222,57,8909,FAC_67,1,720,1080,2
76197,Day,2,53,SUP_513,146.138246,-37.974343,58,7463,FAC_67,1,540,870,1
76198,Day,2,59,SUP_9212,145.59125,-38.22413,64,6500,FAC_3,0,480,870,2
76199,Day,2,60,SUP_9214,145.789962,-38.475747,65,4023,FAC_3,0,480,900,2
76200,Day,2,61,SUP_9225,146.125597,-38.2079,66,4568,FAC_3,0,480,900,2
76201,Day,2,63,SUP_9245,146.080328,-38.154331,68,2153,FAC_3,0,450,870,1
76202,Day,2,65,SUP_9260,145.853653,-38.151087,70,6983,FAC_3,0,510,930,2
76203,Day,2,70,SUP_9291,145.894235,-38.13933,75,2389,FAC_3,0,480,900,2
76204,Day,2,71,SUP_9293,145.582275,-38.1411,76,2216,FAC_3,0,420,900,2
76205,Day,2,73,SUP_9301,146.025403,-38.561187,78,5847,FAC_3,0,510,930,2
76206,Day,2,74,SUP_9305,145.919705,-38.526875,79,2806,FAC_3,0,540,930,2
76207,Day,2,75,SUP_9318,145.961789,-38.221237,80,6510,FAC_3,0,510,930,2
76208,Day,2,76,SUP_9319,146.001891,-38.209779,81,11306,FAC_3,0,480,930,2
76209,Day,2,77,SUP_9320,146.02896,-38.220386,82,1439,FAC_3,0,630,1020,2
76210,Day,2,78,SUP_9321,145.966373,-38.238082,83,1910,FAC_3,0,540,960,2
76211,Day,2,79,SUP_9322,145.986239,-38.218241,84,1887,FAC_3,0,630,960,2
76212,Day,2,81,SUP_9331,146.008486,-38.569286,86,4840,FAC_3,0,540,960,2
76213,Day,2,89,SUP_9443,145.93881,-38.544085,94,6238,FAC_3,0,510,900,2
76214,Day,2,90,SUP_9445,145.966721,-38.413568,95,8497,FAC_3,0,510,930,2
76215,Day,2,94,SUP_9450,145.677741,-38.300582,99,6072,FAC_3,0,600,960,2
76216,Day,2,95,SUP_9451,145.807095,-38.49078,100,16285,FAC_3,0,480,840,2
76217,Day,2,96,SUP_9452,145.800454,-38.455064,101,19390,FAC_3,0,510,810,2
76218,Day,2,98,SUP_9454,146.119892,-38.734429,103,9920,FAC_3,0,570,990,2
76219,Day,2,108,SUP_12,145.966032,-38.064566,113,1699,FAC_67,1,450,900,1
76220,Day,2,113,SUP_20,145.783496,-38.181073,118,2513,FAC_67,1,420,720,1
76221,Day,2,114,SUP_21,145.716058,-38.176896,119,4224,FAC_67,1,540,780,2
76222,Day,2,115,SUP_22,146.189588,-38.199345,120,7340,FAC_67,1,480,900,1
76223,Day,2,116,SUP_106,145.720096,-38.192289,121,4000,FAC_67,1,510,960,2
76224,Day,2,117,SUP_326,147.001505,-38.085501,122,5448,FAC_67,1,510,930,2
76225,Day,2,118,SUP_108,146.231845,-38.14262,123,6752,FAC_67,1,510,930,2
76226,Day,2,119,SUP_109,145.735021,-38.206469,124,1757,FAC_67,1,570,990,2
76227,Day,2,121,SUP_103,146.084898,-38.213055,126,3251,FAC_67,1,480,900,1
76228,Day,2,123,SUP_332,146.758343,-37.997136,128,6128,FAC_67,1,510,930,2
76229,Day,2,125,SUP_111,145.765651,-38.042492,130,1945,FAC_67,1,600,960,1
76230,Day,2,126,SUP_112,145.851843,-38.096022,131,2856,FAC_67,1,510,840,2
76231,Day,2,128,SUP_333,146.475225,-38.271925,133,3250,FAC_67,1,450,1080,2
76232,Day,2,129,SUP_113,145.947715,-37.974872,134,3823,FAC_67,1,510,990,2
76233,Day,2,130,SUP_114,145.827287,-38.076158,135,2295,FAC_67,1,570,960,2
76234,Day,2,131,SUP_115,145.868056,-38.176379,136,3146,FAC_67,1,540,900,1
76235,Day,2,132,SUP_116,145.790087,-38.360245,137,4284,FAC_67,1,570,960,1
76236,Day,2,133,SUP_401,145.915505,-38.54357,138,7057,FAC_67,1,480,900,2
76237,Day,2,135,SUP_117,146.072356,-38.087307,140,735,FAC_67,1,420,960,1
76238,Day,2,136,SUP_119,145.801187,-38.326725,141,4478,FAC_67,1,420,960,2
76239,Day,2,137,SUP_120,145.716058,-38.176896,142,3581,FAC_67,1,540,900,1
76240,Day,2,138,SUP_402,146.069132,-38.515127,143,4314,FAC_67,1,600,960,1
