orderNumber,shiftTime,shiftDay,ID,name,x,y,matrixPosition,milkPlanned,Factory,factoryPosition,startTimeWindow,endTimeWindow,vehicleLimit
76241,Night,2,2,SUP_32,145.764323,-38.09192,7,3208,FAC_67,1,360,900,1
76242,Night,2,13,SUP_49,145.875885,-38.238845,18,5319,FAC_67,1,360,1020,1
76243,Night,2,16,SUP_56,145.533465,-38.09496,21,4442,FAC_67,1,420,1080,1
76244,Night,2,17,SUP_58,145.87983,-38.26395,22,3466,FAC_67,1,360,1020,1
76245,Night,2,18,SUP_59,145.870928,-38.227024,23,5446,FAC_67,1,360,1020,1
76246,Night,2,20,SUP_64,145.60967,-38.124375,25,26000,FAC_67,1,510,1080,2
76247,Night,2,25,SUP_79,145.530286,-38.146655,30,1805,FAC_67,1,480,1080,1
76248,Night,2,27,SUP_83,145.888985,-38.089505,32,1441,FAC_67,1,420,1050,1
76249,Night,2,29,SUP_86,145.77224,-38.30429,34,6108,FAC_67,1,360,1050,2
76250,Night,2,38,SUP_105,145.875465,-38.162349,43,2016,FAC_67,1,420,1080,1
76251,Night,2,42,SUP_500,146.379813,-38.136398,47,10891,FAC_67,1,360,1020,1
76252,Night,2,43,SUP_502,146.252467,-38.101588,48,1860,FAC_67,1,450,1079,1
76253,Night,2,44,SUP_504,146.176134,-38.109882,49,4274,FAC_67,1,420,1020,2
76254,Night,2,45,SUP_505,146.181921,-38.0938,50,2215,FAC_67,1,360,1020,1
76255,Night,2,49,SUP_509,146.258455,-38.093339,54,1791,FAC_67,1,390,1050,1
76256,Night,2,51,SUP_511,146.16728,-38.068286,56,2892,FAC_67,1,360,1020,2
76257,Night,2,56,SUP_9199,145.58537,-38.093463,61,7619,FAC_3,0,360,1020,2
76258,Night,2,62,SUP_9240,146.002196,-37.959192,67,7121,FAC_3,0,390,1050,1
76259,Night,2,64,SUP_9259,145.839015,-38.155578,69,12277,FAC_3,0,390,1050,2
76260,Night,2,66,SUP_9265,145.985983,-38.151122,71,7269,FAC_3,0,390,1050,2
76261,Night,2,68,SUP_9285,146.006184,-37.928793,73,9904,FAC_3,0,420,1050,2
76262,Night,2,80,SUP_9324,146.017471,-38.093534,85,6640,FAC_3,0,390,1050,2
76263,Night,2,83,SUP_9406,145.634486,-37.802115,88,10591,FAC_3,0,390,1050,2
76264,Night,2,84,SUP_9424,146.890793,-38.128696,89,9252,FAC_3,0,390,1050,2
76265,Night,2,85,SUP_9428,146.890793,-38.128696,90,5035,FAC_3,0,390,1050,2
76266,Night,2,92,SUP_9447,146.89881,-38.11672,97,8285,FAC_3,0,390,1050,2
76267,Night,2,93,SUP_9449,145.91042,-38.027152,98,6109,FAC_3,0,360,960,2
76268,Night,2,101,SUP_9458,146.852564,-38.031833,106,7644,FAC_3,0,360,1020,2
76269,Night,2,102,SUP_9577,145.746824,-38.207537,107,14828,FAC_3,0,420,1080,2
76270,Night,2,103,SUP_20444,145.586954,-38.117429,108,7144,FAC_68,2,450,990,2
76271,Night,2,104,SUP_20445,145.535855,-38.21391,109,20675,FAC_68,2,360,1020,2
76272,Night,2,105,SUP_20446,145.536955,-38.28345,110,6457,FAC_68,2,390,1050,2
76273,Night,2,106,SUP_20447,145.798283,-38.050649,111,20399,FAC_68,2,420,1020,2
76274,Night,2,107,SUP_4,145.864164,-38.21961,112,4458,FAC_67,1,390,1050,1
76275,Night,2,109,SUP_15,145.535552,-37.88475,114,4282,FAC_67,1,390,1050,1
76276,Night,2,111,SUP_17,145.87016,-38.203385,116,4628,FAC_67,1,420,1080,2
76277,Night,2,122,SUP_9455,145.95601,-37.95382,127,2597,FAC_3,0,420,960,1
76278,Night,2,124,SUP_110,145.726021,-38.303606,129,7676,FAC_67,1,420,1079,2
76279,Night,2,134,SUP_118,146.18252,-38.127985,139,1776,FAC_67,1,420,1020,1
