ID,name,x,y,milkPlanned,nextType,nextID,factory
0,SUP_30,145.68155,-38.17779,6576,farm,69,1
1,SUP_32,145.764323,-38.09192,3942,factory,1,1
2,SUP_36,145.739267,-38.184967,4996,farm,57,1
3,SUP_37,145.900921,-38.199139,3628,farm,15,1
4,SUP_38,145.986239,-38.218241,4421,farm,5,1
5,SUP_39,145.954463,-38.197071,5139,factory,1,1
6,SUP_40,145.933607,-38.209642,7493,farm,7,1
7,SUP_41,145.96377,-38.211185,1859,farm,4,1
8,SUP_46,145.979005,-38.193793,3417,farm,22,1
9,SUP_51,146.051958,-38.12968,2316,farm,71,1
10,SUP_56,145.533465,-38.09496,5686,farm,0,1
11,SUP_60,145.967363,-38.079142,2791,farm,21,1
12,SUP_76,146.103897,-38.116834,7625,farm,64,1
13,SUP_82,145.91177,-38.099785,536,factory,1,1
14,SUP_83,145.888985,-38.089505,2099,factory,1,1
15,SUP_85,145.910655,-38.196494,1397,farm,6,1
16,SUP_86,145.77224,-38.30429,8823,farm,72,1
17,SUP_89,146.117044,-38.213145,2782,farm,65,1
18,SUP_91,145.771286,-38.410772,5761,farm,70,1
19,SUP_92,145.766178,-38.391233,7137,farm,20,1
20,SUP_93,145.770668,-38.226069,3572,farm,63,1
21,SUP_101,145.808054,-38.043342,2064,farm,1,1
22,SUP_102,145.986042,-38.127564,3188,factory,1,1
23,SUP_301,146.880936,-38.054694,6627,farm,62,1
24,SUP_304,146.947588,-38.060939,4185,farm,23,1
25,SUP_320,146.977729,-38.054622,8565,farm,24,1
26,SUP_507,146.122991,-38.011852,7218,farm,14,1
27,SUP_508,146.166045,-38.045164,4458,farm,11,1
28,SUP_510,146.164803,-38.029123,5630,farm,53,1
29,SUP_511,146.16728,-38.068286,3263,farm,28,1
30,SUP_512,146.142945,-38.058222,8909,farm,27,1
31,SUP_513,146.138246,-37.974343,7463,farm,26,1
32,SUP_9212,145.59125,-38.22413,6500,factory,0,0
33,SUP_9214,145.789962,-38.475747,4023,factory,0,0
34,SUP_9225,146.125597,-38.2079,4568,farm,43,0
35,SUP_9245,146.080328,-38.154331,2153,farm,34,0
36,SUP_9260,145.853653,-38.151087,6983,farm,37,0
37,SUP_9291,145.894235,-38.13933,2389,farm,41,0
38,SUP_9293,145.582275,-38.1411,2216,farm,36,0
39,SUP_9301,146.025403,-38.561187,5847,farm,52,0
40,SUP_9305,145.919705,-38.526875,2806,factory,0,0
41,SUP_9318,145.961789,-38.221237,6510,farm,32,0
42,SUP_9319,146.001891,-38.209779,11306,farm,45,0
43,SUP_9320,146.02896,-38.220386,1439,farm,42,0
44,SUP_9321,145.966373,-38.238082,1910,factory,0,0
45,SUP_9322,145.986239,-38.218241,1887,farm,44,0
46,SUP_9331,146.008486,-38.569286,4840,farm,47,0
47,SUP_9443,145.93881,-38.544085,6238,farm,40,0
48,SUP_9445,145.966721,-38.413568,8497,farm,50,0
49,SUP_9450,145.677741,-38.300582,6072,factory,0,0
50,SUP_9451,145.807095,-38.49078,16285,farm,49,0
51,SUP_9452,145.800454,-38.455064,19390,farm,33,0
52,SUP_9454,146.119892,-38.734429,9920,farm,46,0
53,SUP_12,145.966032,-38.064566,1699,farm,13,1
54,SUP_20,145.783496,-38.181073,2513,farm,68,1
55,SUP_21,145.716058,-38.176896,4224,farm,73,1
56,SUP_22,146.189588,-38.199345,7340,farm,59,1
57,SUP_106,145.720096,-38.192289,4000,farm,16,1
58,SUP_326,147.001505,-38.085501,5448,farm,25,1
59,SUP_108,146.231845,-38.14262,6752,farm,29,1
60,SUP_109,145.735021,-38.206469,1757,farm,19,1
61,SUP_103,146.084898,-38.213055,3251,farm,17,1
62,SUP_332,146.758343,-37.997136,6128,factory,1,1
63,SUP_111,145.765651,-38.042492,1945,factory,1,1
64,SUP_112,145.851843,-38.096022,2856,factory,1,1
65,SUP_333,146.475225,-38.271925,3250,farm,12,1
66,SUP_113,145.947715,-37.974872,3823,farm,31,1
67,SUP_114,145.827287,-38.076158,2295,factory,1,1
68,SUP_115,145.868056,-38.176379,3146,farm,61,1
69,SUP_116,145.790087,-38.360245,4284,farm,67,1
70,SUP_401,145.915505,-38.54357,7057,farm,74,1
71,SUP_117,146.072356,-38.087307,735,farm,30,1
72,SUP_119,145.801187,-38.326725,4478,factory,1,1
73,SUP_120,145.716058,-38.176896,3581,farm,60,1
74,SUP_402,146.069132,-38.515127,4314,farm,8,1
