ID,name,x,y,milkPlanned,nextType,nextID,factory
0,SUP_31,145.879088,-38.218584,23877,factory,1,1
1,SUP_32,145.764323,-38.09192,3183,factory,1,1
2,SUP_33,145.638376,-38.121482,1352,farm,1,1
3,SUP_42,145.628945,-38.16656,2311,farm,2,1
4,SUP_54,145.571125,-38.07698,1197,farm,5,1
5,SUP_56,145.533465,-38.09496,3984,farm,7,1
6,SUP_68,146.03113,-38.186028,1646,factory,1,1
7,SUP_79,145.530286,-38.146655,1799,farm,3,1
8,SUP_83,145.888985,-38.089505,2423,factory,1,1
9,SUP_86,145.77224,-38.30429,6535,farm,10,1
10,SUP_105,145.875465,-38.162349,1994,factory,1,1
11,SUP_500,146.379813,-38.136398,11149,farm,18,1
12,SUP_502,146.252467,-38.101588,1724,farm,16,1
13,SUP_504,146.176134,-38.109882,4284,farm,15,1
14,SUP_505,146.181921,-38.0938,2102,farm,17,1
15,SUP_506,146.176134,-38.109882,2973,farm,14,1
16,SUP_509,146.258455,-38.093339,3818,farm,11,1
17,SUP_511,146.16728,-38.068286,2878,farm,8,1
18,SUP_515,146.254752,-38.113763,5217,farm,6,1
19,SUP_9199,145.58537,-38.093463,7559,farm,32,0
20,SUP_9207,145.971135,-37.995451,2541,farm,21,0
21,SUP_9240,146.002196,-37.959192,7000,farm,24,0
22,SUP_9265,145.985983,-38.151122,7348,farm,26,0
23,SUP_9270,145.944473,-37.982403,2556,factory,0,0
24,SUP_9285,146.006184,-37.928793,9637,farm,28,0
25,SUP_9295,145.777712,-38.038042,6608,factory,0,0
26,SUP_9324,146.017471,-38.093534,6527,farm,27,0
27,SUP_9449,145.91042,-38.027152,6358,farm,41,0
28,SUP_9453,145.995302,-37.922536,5326,factory,0,0
29,SUP_9456,146.782998,-38.066436,5318,farm,44,0
30,SUP_9457,146.745659,-38.019455,8384,farm,23,0
31,SUP_9458,146.852564,-38.031833,8098,farm,30,0
32,SUP_9577,145.746824,-38.207537,14854,farm,25,0
33,SUP_20444,145.586954,-38.117429,13311,factory,2,2
34,SUP_20445,145.535855,-38.21391,19838,farm,35,2
35,SUP_20446,145.536955,-38.28345,6187,factory,2,2
36,SUP_20447,145.798283,-38.050649,19040,factory,2,2
37,SUP_4,145.864164,-38.21961,4583,farm,40,1
38,SUP_15,145.535552,-37.88475,4099,farm,4,1
39,SUP_16,145.517576,-37.896841,455,farm,38,1
40,SUP_17,145.87016,-38.203385,4650,farm,13,1
41,SUP_9455,145.95601,-37.95382,2688,farm,43,0
42,SUP_110,145.726021,-38.303606,7607,farm,9,1
43,SUP_9254,145.995533,-37.917983,5511,factory,0,0
44,SUP_9447,146.89881,-38.11672,4830,farm,31,0
